bvid,title,length,category,topic,season,created,play,status,video,text,url
BV1k1Y763Ejj,蓝宝石怎么镶才好看？这一期直接抄答案,01:25,02_彩色宝石,02_彩色宝石,,1789121081,37,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV1k1Y763Ejj
BV1tjYT6HEVR,客订珠宝 | 这期设计都能给到夯！,02:48,05_金属首饰与佩戴,05_金属首饰与佩戴,,1789034582,225,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/05_金属首饰与佩戴,,https://www.bilibili.com/video/BV1tjYT6HEVR
BV1QebK6LE3a,九月香港珠宝展预告！快来聊聊,00:52,08_行业与商业,08_行业与商业,,1788776441,575,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/08_行业与商业,,https://www.bilibili.com/video/BV1QebK6LE3a
BV1p9to66ELo,景甜风富贵花怎么戴珠宝？贵气但别老气,03:26,05_金属首饰与佩戴,05_金属首饰与佩戴,,1788433544,1298,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/05_金属首饰与佩戴,,https://www.bilibili.com/video/BV1p9to66ELo
BV1N6t86vEJ7,长期主义买彩宝该怎么选？这三点一定要注意,02:03,02_彩色宝石,02_彩色宝石,,1788170661,432,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV1N6t86vEJ7
BV1t34R6BE73,秋冬首饰搭配就看这三个方向！很妙~,02:49,05_金属首饰与佩戴,05_金属首饰与佩戴,,1787827829,570,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/05_金属首饰与佩戴,,https://www.bilibili.com/video/BV1t34R6BE73
BV1Pm8d6CE5E,精切小货上新｜3年前都买不到的价格,01:47,05_金属首饰与佩戴,05_金属首饰与佩戴,,1787741078,1973,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/05_金属首饰与佩戴,,https://www.bilibili.com/video/BV1Pm8d6CE5E
BV1VFhP6mEHE,程潇风甜辣脸，选这些珠宝上大分！,03:25,11_其他,11_其他,,1787569571,548,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/11_其他,,https://www.bilibili.com/video/BV1VFhP6mEHE
BV1qh8z6JEM6,粉色尖晶石怎么选？颜值即正义,05:12,02_彩色宝石,02_彩色宝石,,1787317514,552,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV1qh8z6JEM6
BV1V88c6qEAZ,2026彩宝热度排行，第一名果然是它,03:54,02_彩色宝石,02_彩色宝石,,1787225268,1787,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV1V88c6qEAZ
BV1DpbC67EPq,火年买蓝色系宝石？先别上头，听我说完,03:33,02_彩色宝石,02_彩色宝石,,1786786200,1013,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV1DpbC67EPq
BV13Ygp6jEt4,田曦薇风甜妹脸，珠宝要灵动别显老！,01:36,05_金属首饰与佩戴,05_金属首饰与佩戴,,1786615588,968,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/05_金属首饰与佩戴,,https://www.bilibili.com/video/BV13Ygp6jEt4
